name,jibun_Address,road_Address,postcode
공주칼국수 식당,대전 서구 변동 21-4,대전 서구 도솔로 206(변동),35320
다사랑,대전 서구 도마동 50-12,대전 서구 도마로 4(도마동),35337
인센스카페,대전 서구 갈마동 1059,대전 서구 대덕대로 153-1(갈마동),35271
두메바베큐,대전 서구 만년동 201,대전 서구 만년남로3번길 57(만년동),35200
뭉치 식당,대전 서구 월평동 978,대전 서구 월평서로6번길 61(월평동),35225
만석화로,대전 서구 갈마동 1125,대전 서구 갈마중로50번길 18(갈마동),35272
부산기장산꼼장어,대전 서구 갈마동 832,대전 서구 갈마역로 13-1(갈마동),35231
처갓집양념치킨 산호점,대전 서구 탄방동 689 산호아파트,"대전 서구 계룡로571번길 65(탄방동, 산호아파트)",35262
새벽우리갯벌낙지,대전 서구 월평동 226,대전 서구 대덕대로335번길 19(월평동),35213
항아리닭갈비,대전 서구 월평동 872,대전 서구 월평중로 3(월평동),35225
장수오리,대전 서구 괴곡동 377-8,대전 서구 구억뜸길 39(괴곡동),35422
라이브스토리,대전 서구 탄방동 1105,대전 서구 문정로150번길 12(탄방동),35255
부라보맥주,대전 서구 월평동 250,대전 서구 월평북로 88-16(월평동),35214
평양순대족발,대전 서구 변동 49-1 변동종합시장,대전 서구 변동로 60(변동),35316
두부사랑,대전 서구 월평동 230,대전 서구 청사서로54번길 11(월평동),35213
육회당,대전 서구 갈마동 1080,대전 서구 갈마중로50번길 10(갈마동),35272
중문식당,대전 서구 갈마동 262-2,대전 서구 신갈마로 238(갈마동),35227
수정자갈치꼼장어,대전 서구 갈마동 983,대전 서구 갈마중로37번길 5(갈마동),35271
제주도횟집,대전 서구 월평동 231,대전 서구 대덕대로335번길 39(월평동),35213
명가생태&생삼겹,대전 서구 둔산동 1480,대전 서구 둔산로137번길 32(둔산동),35240
원조옥이 양푼이동태찌개,대전 서구 월평동 1009,"대전 서구 월평로34번길 21, 1층 (월평동)",35225
홍's 쭈꾸미,대전 서구 갈마동 1362,대전 서구 갈마로147번길 59-14(갈마동),35266
무궁화7080,대전 서구 월평동 228,대전 서구 대덕대로335번길 27(월평동),35213
금수강산식당,대전 서구 산직동 211-2,대전 서구 장안로 141(산직동),35426
만년왕족발,대전 서구 만년동 173,대전 서구 만년남로3번길 42(만년동),35200
노가리까는술집,대전 서구 갈마동 293-21,대전 서구 신갈마로209번길 16(갈마동),35275
삼일꽃게식당,대전 서구 탄방동 1431,대전 서구 도솔로 487(탄방동),35253
이슈,대전 서구 도마동 175-21,대전 서구 계백로 1434(도마동),35402
세븐나잇,대전 서구 갈마동 1388,대전 서구 계룡로500번길 64(갈마동),35266
석진명품흑돼지,대전 서구 갈마동 1385,대전 서구 계룡로500번길 72(갈마동),35266
동키치킨식당,대전 서구 월평동 231,대전 서구 대덕대로335번길 39(월평동),35213
정자나무집가든식당,대전 서구 산직동 436,대전 서구 장안로 226(산직동),35426
가마솥삼계탕,대전 서구 갈마동 403-19,대전 서구 갈마로117번길 10(갈마동),35273
타임,대전 서구 변동 41-22,대전 서구 중반2길 110(변동),35317
사탄곱창,대전 서구 둔산동 1833,대전 서구 문정로170번길 204(둔산동),35250
둔산돌구이,대전 서구 둔산동 1485,대전 서구 둔산중로58번길 49(둔산동),35240
메종 식당,대전 서구 정림동 620,대전 서구 정림동로7번길 12(정림동),35396
폭식,대전 서구 탄방동 703,대전 서구 문정로 68(탄방동),35262
지리산흑돼지,대전 서구 둔산동 1858,대전 서구 문정로170번길 154(둔산동),35250
솔밭식당,대전 서구 정림동 516,대전 서구 정림로74번길 18(정림동),35394
아구마을,대전 서구 갈마동 351-2 한국도로공사 조합아파트,"대전 서구 갈마중로16번길 7(갈마동, 한국도로공사 조합아파트)",35272
양천국,대전 서구 만년동 137,대전 서구 만년남로3번길 54-39(만년동),35200
내고향강원도,대전 서구 둔산동 1969,대전 서구 문정로170번길 39(둔산동),35250
라디오스타,대전 서구 둔산동 1185,대전 서구 둔산남로9번길 87(둔산동),35234
호식이두마리치킨탄방점,대전 서구 탄방동 956,대전 서구 남선로9번길 47-10(탄방동),35255
대학로옛날순대,대전 서구 도마동 25-8,대전 서구 도마로 3(도마동),35329
홍어전문점,대전 서구 월평동 586,대전 서구 한밭대로600번길 17(월평동),35223
집밥,대전 서구 도마동 330-18,대전 서구 배재로91번길 56(도마동),35347
민들레만두전골,대전 서구 둔산동 1809 국화아파트,"대전 서구 둔산로 201(둔산동, 국화아파트)",35245
불짬뽕,대전 서구 갈마동 835,대전 서구 갈마역로25번길 9-25(갈마동),35231
가정식당,대전 서구 월평동 311 다모아아파트,"대전 서구 월평동로 83(월평동, 다모아아파트)",35210
나드리김밥,대전 서구 도마동 25-1,대전 서구 배재로 170(도마동),35329
거복,대전 서구 만년동 260,대전 서구 만년남로3번길 8-5(만년동),35200
어탕본가,대전 서구 둔산동 1445,대전 서구 둔산중로40번길 31(둔산동),35241
선비촌식당,대전 서구 탄방동 1483-16,대전 서구 도솔로483번길 66(탄방동),35253
엠바,대전 서구 월평동 586,대전 서구 한밭대로600번길 17(월평동),35223
달빛구름,대전 서구 월평동 985,대전 서구 월평중로13번길 39(월평동),35225
대명반점,대전 서구 정림동 199-1,대전 서구 정림로24번길 40(정림동),35399
수정분식,대전 서구 둔산동 909 수정타운,"대전 서구 청사로 282(둔산동, 수정타운)",35206
만년횟집,대전 서구 만년동 15,대전 서구 만년남로3번길 129(만년동),35200
북어마당,대전 서구 탄방동 858,대전 서구 탄방로7번길 42(탄방동),35256
60계대전둔산점,대전 서구 둔산동 1903,대전 서구 둔산로206번길 34(둔산동),35250
명동칼국수,대전 서구 탄방동 789,대전 서구 문정로90번길 15(탄방동),35263
쉐인,대전 서구 용문동 278-53,대전 서구 괴정로 179(용문동),35302
동천홍식당,대전 서구 월평동 279,대전 서구 청사로123번길 25(월평동),35214
해미락,대전 서구 월평동 332,대전 서구 월평로 25(월평동),35221
흑돼지식당,대전 서구 둔산동 1484 형제빌딩,대전 서구 둔산로137번길 18(둔산동),35240
여성인력개발센터식당,대전 서구 용문동 594-1,대전 서구 계룡로 636(용문동),35300
도군함박,대전 서구 둔산동 1195,대전 서구 둔산남로9번길 51(둔산동),35234
뉴스타상회,대전 서구 월평동 582,대전 서구 월평중로24번길 23(월평동),35223
토종순대족발,대전 서구 변동 71-52,대전 서구 변동중로 71-3(변동),35319
대흥동칼국수식당,대전 서구 갈마동 292-17,대전 서구 계룡로354번길 10(갈마동),35275
난리버꾸통3000냥하우스 월평선사점,대전 서구 월평동 264,대전 서구 청사서로 44(월평동),35214
샹하이24시,대전 서구 월평동 639,대전 서구 월평로 81(월평동),35223
둔산손칼국수,대전 서구 둔산동 1933,대전 서구 둔산남로179번길 25(둔산동),35250
도미노식당,대전 서구 월평동 576,대전 서구 한밭대로600번길 8(월평동),35223
벚꽃,대전 서구 갈마동 969,대전 서구 갈마중로 31(갈마동),35271
돈대패,대전 서구 도마동 122-13,대전 서구 사마1길 61(도마동),35334
월평먹태집,대전 서구 월평동 883,대전 서구 월평중로13번길 7(월평동),35225
페리카나도마1점,대전 서구 도마동 129-17,대전 서구 도산로 86(도마동),35332
어울림식당,대전 서구 월평동 834,대전 서구 월평중로14번길 6(월평동),35224
계동치킨,대전 서구 월평동 834,대전 서구 월평중로14번길 6(월평동),35224
국수가家대표,대전 서구 갈마동 366-35,대전 서구 신갈마로 159-1(갈마동),35277
열도식당,대전 서구 월평동 226,대전 서구 대덕대로335번길 19(월평동),35213
투다리,대전 서구 월평동 583,대전 서구 월평중로24번길 27(월평동),35223
한국피자헛갈마점,대전 서구 갈마동 262-12 행복한집,대전 서구 신갈마로 242(갈마동),35227
둔산정,대전 서구 둔산동 1304 근로자종합복지관,대전 서구 둔산서로 84(둔산동),35238
반찬전문점 구식,대전 서구 월평동 564,대전 서구 한밭대로596번길 22(월평동),35223
라쿠,대전 서구 월평동 276,대전 서구 청사로123번길 15(월평동),35214
네네후라이드치킨행복점,대전 서구 정림동 641 강변들보람아파트,"대전 서구 정림서로 162-18(정림동, 강변들보람아파트)",35398
왕머리,대전 서구 탄방동 614 온동빌딩,대전 서구 계룡로509번길 23(탄방동),35261
두툼,대전 서구 월평동 276,대전 서구 청사로123번길 15(월평동),35214
올커니딱한잔방가네,대전 서구 월평동 934,대전 서구 월평서로6번길 68(월평동),35225
행복식당,대전 서구 도마동 168-15,대전 서구 제비네4길 130(도마동),35335
예술마당식당,대전 서구 둔산동 1471,대전 서구 둔산로137번길 27(둔산동),35240
돈달라고하지마!,대전 서구 복수동 274-1 삼익목화아파트,"대전 서구 복수중로 38(복수동, 삼익목화아파트)",35404
미세노센세,대전 서구 탄방동 757,대전 서구 계룡로553번안길 65(탄방동),35263
더올리브키친,대전 서구 둔산동 1007 국제빌딩,대전 서구 대덕대로233번길 28(둔산동),35229
대한곱창 대전둔산점,대전 서구 둔산동 1102-1,대전 서구 대덕대로185번길 41(둔산동),35230
옛터국수전문점,대전 서구 월평동 1291,대전 서구 월평새뜸로4번길 69(월평동),35226
마포서서갈비,대전 서구 둔산동 1445,대전 서구 둔산중로40번길 31(둔산동),35241
옛집영양탕,대전 서구 월평동 266 백합아파트,"대전 서구 청사서로 41(월평동, 백합아파트)",35215
쿠담법원점,대전 서구 둔산동 1471,대전 서구 둔산로137번길 27(둔산동),35240
꼬끼오,대전 서구 정림동 601-1,대전 서구 정림동로5번길 32(정림동),35396
효성각식당,대전 서구 도마동 180-2 효성타운,"대전 서구 도산로 11(도마동, 효성타운)",35401
유원옥진주냉면,대전 서구 둔산동 1391 서림빌딩,대전 서구 둔산로137번길 44(둔산동),35240
혼밥혼면,대전 서구 갈마동 1325,대전 서구 괴정로11번길 66(갈마동),35266
겐스빌치킨,대전 서구 흑석동 922,대전 서구 장안로 10(흑석동),35426
